Musicas/contemporaneas/D/Deixa Deus Trabalhar.pdf		Fé / Confiança †
Musicas/contemporaneas/D/Deixa-me Tocar.pdf		Comunhão com Deus †
Musicas/contemporaneas/D/Deixa o Salvador te ajudar.pdf	Hinário (HCC 262)	Convite à salvação
Musicas/contemporaneas/D/Derrama tua glória.pdf		Avivamento †
Musicas/contemporaneas/D/Descansarei.pdf		Fé / Confiança †
Musicas/contemporaneas/D/Descerá sobre Ti.pdf		Espírito Santo †
Musicas/contemporaneas/D/Detalhes.pdf		Cuidado de Deus †
Musicas/contemporaneas/D/Deus Cuida de Mim.pdf	Kleber Lucas	Cuidado de Deus
Musicas/contemporaneas/D/Deus da Familia.pdf		Família / Lar †
Musicas/contemporaneas/D/Deus da Minha Vida tom  D.pdf		Adoração †
Musicas/contemporaneas/D/Deus da Minha Vida tom  F.pdf		Adoração †
Musicas/contemporaneas/D/Deus de Amor.pdf		Amor de Deus †
Musicas/contemporaneas/D/Deus de Promessas.pdf	Toque no Altar / Davi Sacer	Fé / Confiança
Musicas/contemporaneas/D/Deus do Impossivel.pdf		Fé / Milagres †
Musicas/contemporaneas/D/Deus Enviou.pdf		Salvação †
Musicas/contemporaneas/D/Deus Está Aqui.pdf	Corinho tradicional	Presença de Deus
Musicas/contemporaneas/D/Deus Me Ama.pdf		Amor de Deus †
Musicas/contemporaneas/D/Deus Supremo És.pdf		Adoração †
Musicas/contemporaneas/D/Dia de Libertação.pdf		Libertação †
Musicas/contemporaneas/D/Dia Feliz.pdf		Alegria em Deus †
Musicas/contemporaneas/D/Diante da Cruz.pdf		Cruz / Redenção †
Musicas/contemporaneas/D/Digno de Glória.pdf		Adoração †
Musicas/contemporaneas/D/Digno é o Senhor.pdf	Diante do Trono	Adoração
Musicas/contemporaneas/D/Disponível Em Tuas Mãos.pdf		Consagração †
Musicas/contemporaneas/D/Doce Nome.pdf		Nome de Jesus †
Musicas/contemporaneas/E/É bastante.pdf		Graça / Suficiência de Cristo †
Musicas/contemporaneas/E/É de Coração.pdf		Adoração †
Musicas/contemporaneas/E/É de Coração tom A.pdf		Adoração †
Musicas/contemporaneas/E/Eis-me Aqui.pdf		Consagração / Serviço †
Musicas/contemporaneas/E/Ele é Exaltado.pdf	Twila Paris (He Is Exalted)	Adoração / Cristo Rei
Musicas/contemporaneas/E/Ele Não Desiste de Você.pdf		Graça / Perseverança †
Musicas/contemporaneas/E/Ele Vive.pdf		Ressurreição †
Musicas/contemporaneas/E/Em Espírito e Em Verdade.pdf		Adoração
Musicas/contemporaneas/E/Em fervente Oração.pdf		Oração †
Musicas/contemporaneas/E/Em teus átrios.pdf	Salmo 84	Adoração / Presença de Deus
Musicas/contemporaneas/E/Enche este Lugar.pdf		Espírito Santo / Avivamento †
Musicas/contemporaneas/E/Espírito de Deus.pdf		Espírito Santo †
Musicas/contemporaneas/E/Espírito Santo.pdf		Espírito Santo †
Musicas/contemporaneas/E/Esse é o meu Desejo.pdf		Consagração †
Musicas/contemporaneas/E/Essência de Deus.pdf		Adoração †
Musicas/contemporaneas/E/Estrela da Manhã.pdf		Adoração / Cristo †
Musicas/contemporaneas/E/Eu e minha casa.pdf	Josué 24.15	Família / Lar
Musicas/contemporaneas/E/Eu me Rendo.pdf		Consagração / Rendição †
Musicas/contemporaneas/E/Eu não me esqueci de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/E/Eu só quero Estar.pdf		Comunhão com Deus †
Musicas/contemporaneas/E/Eu te agradeço Deus.pdf		Gratidão †
Musicas/contemporaneas/E/Eu te Bendirei - A.pdf		Louvor †
Musicas/contemporaneas/E/Eu te Bendirei - C.pdf		Louvor †
Musicas/contemporaneas/E/Eu te Bendirei - G.pdf		Louvor †
Musicas/contemporaneas/E/Eu te Busco.pdf		Comunhão com Deus †
Musicas/contemporaneas/E/Eu te louvarei meu bom Jesus.pdf	Corinho tradicional	Louvor
Musicas/contemporaneas/E/Eu te Louvarei meu bom Jesus - Tu és Bom.pdf	Corinho tradicional (medley)	Louvor
Musicas/contemporaneas/E/Eu Te Louvarei Senhor.pdf		Louvor †
Musicas/contemporaneas/E/Eu te Quero.pdf		Comunhão com Deus †
Musicas/contemporaneas/E/Eu vejo a Glória.pdf		Adoração †
Musicas/contemporaneas/E/Eu Vejo a Glória (versão nova).pdf		Adoração †
Musicas/contemporaneas/E/Exaltai.pdf		Adoração †
Musicas/contemporaneas/E/Exaltar-te-ei Oh! Deus meu e Rei.pdf	Salmo 145	Adoração / Cristo Rei
Musicas/contemporaneas/E/Expressão de Louvor.pdf		Louvor †
Musicas/contemporaneas/E/Sendo Embaixador eu Quero.pdf		Missões / Serviço †
Musicas/contemporaneas/E/Tenho orgulho de ser embaixador.pdf		Missões / Serviço †
Musicas/contemporaneas/F/Falando de Vida.pdf		Evangelismo †
Musicas/contemporaneas/F/Familia  Debaixo da Graça Tom D.pdf		Família / Lar †
Musicas/contemporaneas/F/Família debaixo da Graça tom E.pdf		Família / Lar †
Musicas/contemporaneas/F/Família.pdf		Família / Lar †
Musicas/contemporaneas/F/Faz Chover.pdf	Fernandinho	Avivamento
Musicas/contemporaneas/F/Faz um Milagre em Mim.pdf	Regis Danese	Cura / Milagres
Musicas/contemporaneas/F/Fiel a mim.pdf		Fidelidade de Deus †
Musicas/contemporaneas/F/Filho do Homem em E.pdf		Adoração / Cristo †
Musicas/contemporaneas/F/Filho do Homem em G.pdf		Adoração / Cristo †
Musicas/contemporaneas/F/Fim de Tarde no Portão.pdf		Testemunho †
Musicas/contemporaneas/F/Finda-se este Dia.pdf	Hinário (HCC 269)	Despedida / Fim de culto
Musicas/contemporaneas/F/Firmeza (366 cc).pdf	Cantor Cristão 366	Fé / Confiança
Musicas/contemporaneas/F/Flua.pdf		Espírito Santo †
Musicas/contemporaneas/F/Foi Assim.pdf		Cruz / Redenção †
Musicas/contemporaneas/G/Glória ao Messias.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/G/Glória pra Sempre - Satisfação.pdf		Adoração †
Musicas/contemporaneas/G/Glorifica.pdf		Adoração †
Musicas/contemporaneas/G/Graças Dou.pdf		Gratidão †
Musicas/contemporaneas/G/Gracias.pdf		Gratidão †
Musicas/contemporaneas/G/Grande É o Senhor tom G.pdf	Adhemar de Campos	Adoração
Musicas/contemporaneas/G/Grandes Coisas.pdf		Louvor / Gratidão †
Musicas/contemporaneas/G/Grande Senhor (Glary).pdf		Adoração †
Musicas/contemporaneas/H/Há Momentos que na Vida.pdf		Consolo / Fé †
Musicas/contemporaneas/H/Há uma unção - Kleber Lucas.pdf	Kleber Lucas	Espírito Santo
Musicas/contemporaneas/H/Hoje é tempo de louvar a Deus.pdf	Corinho tradicional	Louvor
Musicas/contemporaneas/H/Hoje é Tempo de Louvar - Buscai Primeiro - A Paz do Senhor  .pdf	Corinhos (medley)	Louvor
Musicas/contemporaneas/H/Hosana Hillsong.pdf	Hillsong	Adoração / Avivamento
Musicas/contemporaneas/I/Imagine Me - Kirk Franklin.pdf	Kirk Franklin	Cura interior / Graça
Musicas/contemporaneas/I/Incomparável.pdf		Adoração †
Musicas/contemporaneas/I/Investe Em Mim.pdf		Consagração †
Musicas/contemporaneas/J/Jeová é o teu cavaleiro.pdf		Vitória / Guerra espiritual †
Musicas/contemporaneas/J/Jesus Cristo é o Motivo.pdf		Adoração †
Musicas/contemporaneas/J/Jesus Cristo Mudou Meu Viver em Dó.pdf		Testemunho †
Musicas/contemporaneas/J/Jesus Cristo Mudou Meu Viver versão nova.pdf		Testemunho †
Musicas/contemporaneas/J/Jesus, Filho de Deus .pdf		Adoração / Cristo †
Musicas/contemporaneas/J/Jesus meu Primeiro Amor.pdf		Comunhão com Deus †
Musicas/contemporaneas/J/Jesus Provou.pdf		Cruz / Redenção †
Musicas/contemporaneas/J/Jovens de Valor.pdf		Juventude / Consagração †
Musicas/contemporaneas/L/Lágrimas no Olhar.pdf		Consolo †
Musicas/contemporaneas/L/Lamento de Israel TOM C.pdf		Arrependimento / Intercessão †
Musicas/contemporaneas/L/Lamento de Israel tom G#.pdf		Arrependimento / Intercessão †
Musicas/contemporaneas/L/Lamparina da Nação.pdf		Missões / Testemunho †
Musicas/contemporaneas/L/Leva-me Além.pdf		Comunhão com Deus †
Musicas/contemporaneas/L/Libertador.pdf		Libertação †
Musicas/contemporaneas/L/Lovamos-te Oh! Deus (9 hcc).pdf	Hinário (HCC 009)	Adoração
Musicas/contemporaneas/L/Lugares altos - A tom.pdf		Fé / Vitória †
Musicas/contemporaneas/L/Lugares altos C tom.pdf		Fé / Vitória †
Musicas/contemporaneas/M/Maior é Jesus.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/M/Maior é Jesus – Tom C.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/M/Mais PErto quero Estar.pdf	Hinário (HCC 399)	Comunhão com Deus
Musicas/contemporaneas/M/Mais - Toque no Altar.pdf	Toque no Altar	Comunhão com Deus
Musicas/contemporaneas/M/Manancial.pdf		Restauração †
Musicas/contemporaneas/M/Manso e Suave 222 CC.pdf	Cantor Cristão 222	Convite à salvação
Musicas/contemporaneas/M/Manso e Suave.pdf	Cantor Cristão 222	Convite à salvação
Musicas/contemporaneas/M/Maravilhoso és.pdf		Adoração †
Musicas/contemporaneas/M/Maravilhoso.pdf		Adoração †
Musicas/contemporaneas/M/Marca da Promessa.pdf		Fé / Promessas †
Musicas/contemporaneas/M/Marcado com Sangue.pdf		Cruz / Redenção †
Musicas/contemporaneas/M/Mas que a Vida.pdf		Adoração †
Musicas/contemporaneas/M/Me Ama.pdf		Amor de Deus †
Musicas/contemporaneas/M/Me dá Vitória nessa Hora.pdf		Vitória / Súplica †
Musicas/contemporaneas/M/Me Derramar.pdf		Consagração †
Musicas/contemporaneas/M/Meu Alvo - Kleber Lucas.pdf	Kleber Lucas	Consagração
Musicas/contemporaneas/M/Meu Barquinho Tom A.pdf		Fé / Confiança †
Musicas/contemporaneas/M/Meu Barquinho Tom B.pdf		Fé / Confiança †
Musicas/contemporaneas/M/Meu Melhor.pdf		Consagração †
Musicas/contemporaneas/M/Meu Respirar.pdf	Marine Friesen (Breathe)	Comunhão com Deus
Musicas/contemporaneas/M/Meu Tributo.pdf	Andraé Crouch (To God Be the Glory)	Gratidão / Louvor
Musicas/contemporaneas/M/Meu Universo.pdf		Adoração †
Musicas/contemporaneas/M/Milagre.pdf		Cura / Milagres †
Musicas/contemporaneas/M/Minha Benção tom Eb.pdf		Bênção †
Musicas/contemporaneas/M/Minha Benção tom Em.pdf		Bênção †
Musicas/contemporaneas/M/Minha Esperança.pdf		Esperança / Fé †
Musicas/contemporaneas/M/Minha Fortaleza.pdf		Fé / Confiança †
Musicas/contemporaneas/M/Minha vida é Cristo.pdf		Consagração †
Musicas/contemporaneas/M/Move As Águas.pdf		Avivamento †
Musicas/contemporaneas/M/Muda Minha VIda.pdf		Transformação †
Musicas/contemporaneas/M/Não há deus maior.pdf		Adoração †
Musicas/contemporaneas/N/Nada Além de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/N/Nada Além do Sangue.pdf		Cruz / Redenção †
Musicas/contemporaneas/N/Não há Deus Maior.pdf		Adoração †
Musicas/contemporaneas/N/Não Morrerei.pdf		Fé / Vitória †
Musicas/contemporaneas/N/Não temas.pdf		Fé / Confiança †
Musicas/contemporaneas/N/Não tenho outro Bem além de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/N/Não Vou Calar Meus Lábios.pdf		Louvor †
Musicas/contemporaneas/N/Nas Estrelas.pdf		Criação / Adoração †
Musicas/contemporaneas/N/Nome Sobre Todo Nome capo em G.pdf		Nome de Jesus †
Musicas/contemporaneas/N/Nome Sobre Todo Nome.pdf		Nome de Jesus †
Musicas/contemporaneas/N/Nos Braços do Pai - G.pdf		Cuidado de Deus †
Musicas/contemporaneas/N/Nos Braços do Pai.pdf		Cuidado de Deus †
Musicas/contemporaneas/N/Nosso Deus é Soberano - Quem é Deus acima.pdf		Adoração / Soberania †
Musicas/contemporaneas/N/Nosso General é Cristo.pdf		Guerra espiritual / Vitória †
Musicas/contemporaneas/O/O Amor do Nosso Deus.pdf		Amor de Deus †
Musicas/contemporaneas/O/O cheiro das Aguas.pdf		Restauração †
Musicas/contemporaneas/O/O Cordeiro - Raiz Coral D.pdf	Raiz Coral	Cruz / Redenção
Musicas/contemporaneas/O/O Cordeiro - Raiz Coral E.pdf	Raiz Coral	Cruz / Redenção
Musicas/contemporaneas/O/O culto hoje vai ser - A minha alma.pdf	Corinhos (medley)	Louvor
Musicas/contemporaneas/O/O Escudo.pdf		Fé / Proteção †
Musicas/contemporaneas/O/O Espírito de Deus está aqui.pdf	Corinho tradicional	Espírito Santo
Musicas/contemporaneas/O/O Espírito do Senhor.pdf		Espírito Santo †
Musicas/contemporaneas/O/O Estandarte 456 CC - A.pdf	Cantor Cristão 456	Vitória / Serviço
Musicas/contemporaneas/O/O Estandarte 456 CC - G.pdf	Cantor Cristão 456	Vitória / Serviço
Musicas/contemporaneas/O/Oferta Agradável a Ti.pdf		Consagração / Ofertas †
Musicas/contemporaneas/O/Oferta da Viuvinha.pdf	Marcos 12.41-44	Consagração / Ofertas
Musicas/contemporaneas/O/O grande Amigo (155 cc).pdf	Cantor Cristão 155	Amizade com Cristo
Musicas/contemporaneas/O/Olha PRa Mim.pdf		Súplica †
Musicas/contemporaneas/O/O meu Louvor é Fruto.pdf		Louvor †
Musicas/contemporaneas/O/O Nome de Jesus.pdf		Nome de Jesus †
Musicas/contemporaneas/O/O Novo de Deus.pdf		Renovação †
Musicas/contemporaneas/O/O Poder do Teu Amor.pdf	Hillsong (Power of Your Love)	Comunhão com Deus
Musicas/contemporaneas/O/O Segredo de Dar.pdf		Consagração / Ofertas †
Musicas/contemporaneas/O/Os Que Confiam No Senhor 2.pdf	Isaías 40.31	Fé / Confiança
Musicas/contemporaneas/O/Os Que confiam no Senhor.pdf	Isaías 40.31	Fé / Confiança
Musicas/contemporaneas/O/Os Sonhos de Deus.pdf		Propósito / Fé †
Musicas/contemporaneas/O/O Teu amor me Fascina.pdf		Amor de Deus †
Musicas/contemporaneas/O/Outro Igual não Há.pdf		Adoração †
Musicas/contemporaneas/O/Ouvem-se um Júbilo versão nova.pdf	Corinho tradicional	Vitória / Louvor
Musicas/contemporaneas/O/Ouve-se um Júbilo - Vem com Josué - Ele é o Leão.pdf	Corinhos (medley)	Vitória / Louvor
Musicas/contemporaneas/O/O Vento Sopra (quando).pdf		Espírito Santo †
Musicas/contemporaneas/P/Palácios.pdf		Adoração †
Musicas/contemporaneas/P/Pão da Vida.pdf		Santa Ceia †
Musicas/contemporaneas/P/Para Sempre Te Adorarei.pdf		Adoração †
Musicas/contemporaneas/P/Pelo Senhor.pdf		Fé / Vitória †
Musicas/contemporaneas/P/Pequeno Coração.pdf		Consagração †
Musicas/contemporaneas/P/PErto Quero Estar.pdf	Hinário (HCC 399/442)	Comunhão com Deus
Musicas/contemporaneas/P/Plano Melhor A.pdf		Propósito / Fé †
Musicas/contemporaneas/P/Plano Melhor.pdf		Propósito / Fé †
Musicas/contemporaneas/P/Poder da Oração.pdf		Oração †
Musicas/contemporaneas/P/Poderoso Deus.pdf		Adoração †
Musicas/contemporaneas/P/Poder Para Salvar F natural.pdf	Hillsong (Mighty to Save)	Salvação
Musicas/contemporaneas/P/Poder Para Salvar.pdf	Hillsong (Mighty to Save)	Salvação
Musicas/contemporaneas/P/Por Amor.pdf		Amor de Deus †
Musicas/contemporaneas/P/Porque Dele e Por Ele.pdf	Romanos 11.36	Adoração / Soberania
Musicas/contemporaneas/P/Porque Dele Por Ele.pdf	Romanos 11.36	Adoração / Soberania
Musicas/contemporaneas/P/Porque Ele Vive.pdf	Bill & Gloria Gaither	Ressurreição
Musicas/contemporaneas/P/Por quem Tu És.pdf		Adoração †
Musicas/contemporaneas/P/Portas Abertas.pdf		Missões / Avivamento †
Musicas/contemporaneas/P/Pra cima Brasil.pdf		Missões / Pátria †
Musicas/contemporaneas/P/Pra Sempre (Always).pdf		Fé / Confiança †
Musicas/contemporaneas/P/Pra Sempre.pdf		Fé / Confiança †
Musicas/contemporaneas/P/Pra Você.pdf		Evangelismo †
Musicas/contemporaneas/P/Preciosa Graça de Jesus (Amazing Grace).pdf	John Newton (Amazing Grace)	Graça / Salvação
Musicas/contemporaneas/P/Preciso de Ti.pdf	Diante do Trono	Comunhão com Deus
Musicas/contemporaneas/P/Preciso só de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/P/Primeira Essência.pdf		Comunhão com Deus †
Musicas/contemporaneas/P/Primeiro Amor.pdf		Comunhão com Deus †
Musicas/contemporaneas/P/Projeto no Deserto.pdf		Fé / Provação †
Musicas/contemporaneas/P/Promessa - Renascer Praise.pdf	Renascer Praise	Fé / Promessas
Musicas/contemporaneas/P/Prosto-me Diante da Cruz.pdf		Cruz / Adoração †
Musicas/contemporaneas/Q/Maravilhoso és.pdf		Adoração †
Musicas/contemporaneas/Q/Quando Deus Escolhe Alguém.pdf		Chamado / Propósito †
Musicas/contemporaneas/Q/Quando Tudo diz que não.pdf		Fé / Provação †
Musicas/contemporaneas/Q/Quanto Amor.pdf		Amor de Deus †
Musicas/contemporaneas/Q/Quão Grande é o Meu Deus.pdf	Chris Tomlin (vers. Soraya Moraes)	Adoração / Grandeza de Deus
Musicas/contemporaneas/Q/Quão Grande ès Tu (52 HCC).pdf	Hinário (HCC 052)	Criação / Adoração
Musicas/contemporaneas/Q/Quebrantado Coração.pdf	Fernanda Brum	Quebrantamento
Musicas/contemporaneas/Q/Quebrantado.pdf	Ministério Vineyard	Quebrantamento
Musicas/contemporaneas/Q/Que Doce.pdf		Comunhão com Deus †
Musicas/contemporaneas/Q/Quero Descer.pdf		Humildade / Consagração †
Musicas/contemporaneas/Q/Quero Subir.pdf		Comunhão com Deus †
Musicas/contemporaneas/R/Raridade.pdf	Anderson Freire	Amor de Deus / Valor
Musicas/contemporaneas/R/Rei da Glória (ôôô).pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/R/Rei da Glória.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/R/Rei das Nações.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/R/Reina Em Mim.pdf	Vineyard	Consagração
Musicas/contemporaneas/R/Rendido Estou.pdf		Consagração / Rendição †
Musicas/contemporaneas/R/Renova-me.pdf	Corinho tradicional	Renovação / Santidade
Musicas/contemporaneas/R/Ressuscita-me.pdf		Restauração †
Musicas/contemporaneas/R/Ressuscitou.pdf		Ressurreição †
Musicas/contemporaneas/R/Restitui.pdf		Restauração †
Musicas/contemporaneas/R/Rompendo em Fé.pdf		Fé / Vitória †
Musicas/contemporaneas/S/Sacia-me.pdf		Comunhão com Deus †
Musicas/contemporaneas/S/Salmos 104.pdf	Salmo 104	Criação / Adoração
Musicas/contemporaneas/S/Salmos 4.pdf	Salmo 4	Oração / Confiança
Musicas/contemporaneas/S/Santidade - A.pdf		Santidade
Musicas/contemporaneas/S/Santidade - Bb.pdf		Santidade
Musicas/contemporaneas/S/Santidade - D.pdf		Santidade
Musicas/contemporaneas/S/Santo espírito enche a minha vida - Pai Abre meu Coração - Então se Verá - A Ti Senhor - Meu coração.pdf	Corinhos (medley)	Espírito Santo / Adoração
Musicas/contemporaneas/S/Santo Santo Santo Hossana Music.pdf	Hosanna Music	Adoração
Musicas/contemporaneas/S/Seguir com Fé.pdf		Fé / Perseverança †
Musicas/contemporaneas/S/Segurança.pdf		Fé / Segurança †
Musicas/contemporaneas/S/Seja Engrandecido.pdf	Corinho tradicional	Adoração
Musicas/contemporaneas/S/Se não for pra te adorar   Tom.pdf		Adoração †
Musicas/contemporaneas/S/Sendo Embaixador eu Quero.pdf		Missões / Serviço †
Musicas/contemporaneas/S/Senhor e Rei.pdf		Adoração / Cristo Rei †
Musicas/contemporaneas/S/Senhor Formoso És.pdf		Adoração †
Musicas/contemporaneas/S/Senhor Te Quero.pdf		Comunhão com Deus †
Musicas/contemporaneas/S/Sinceramente - Vencedores por Cristo.pdf	Vencedores por Cristo	Consagração
Musicas/contemporaneas/S/Sobre as Águas.pdf		Fé / Confiança †
Musicas/contemporaneas/S/Solo Cristo.pdf		Salvação / Cristo †
Musicas/contemporaneas/S/Sonda-me, Usa-me.pdf	Salmo 139	Santidade / Consagração
Musicas/contemporaneas/S/Sonhos de Deus.pdf		Propósito / Fé †
Musicas/contemporaneas/S/Sou do meu Amado.pdf	Cantares	Comunhão com Deus
Musicas/contemporaneas/S/Sou Feliz Com Jesus - Melissa.pdf	Horatio Spafford (It Is Well)	Paz / Consolo
Musicas/contemporaneas/S/Sou Feliz.pdf	Horatio Spafford (It Is Well)	Paz / Consolo
Musicas/contemporaneas/S/Sou Um Milagre.pdf		Testemunho †
Musicas/contemporaneas/T/Eu te Louvarei meu bom Jesus - Tu és Bom.pdf	Corinho tradicional (medley)	Louvor
Musicas/contemporaneas/T/Te Adoramos Oh! Altíssimo.pdf		Adoração †
Musicas/contemporaneas/T/Te adorar é o meu prazer.pdf		Adoração †
Musicas/contemporaneas/T/Te Agradeço.pdf	Diante do Trono	Gratidão
Musicas/contemporaneas/T/Te agradeço - versão nova.pdf	Diante do Trono	Gratidão
Musicas/contemporaneas/T/Te Exaltamos Oh! Cordeiro Santo.pdf		Adoração †
Musicas/contemporaneas/T/Te Exaltamos Oh! Cordeiro Santo - Tom C.pdf		Adoração †
Musicas/contemporaneas/T/Tenho orgulho de ser embaixador.pdf		Missões / Serviço †
Musicas/contemporaneas/T/Teus Altares.pdf		Consagração †
